player,position,school,weight,dash,bench,vertical,broad,shuttle,cone,hand,arm,wing,height
Milton Williams,IDL,Louisiana Tech,286.0,4.63,32.0,35.0,,,,,,,75.0
Jonathan Adams Jr.,WR,Arkansas State,218.0,4.48,,41.5,126.0,4.13,6.9,,,,75.0
Donnie Corley,WR,Texas Southern,195.0,4.39,,35.5,126.0,4.39,6.88,,,,73.0
Scott Meyer,LS,Vanderbilt,237.0,,,,102.0,4.65,7.54,10.0,32.0,78.0,73.125
Cameron Kinley,CB,Navy,197.0,4.52,10.0,33.0,116.0,4.25,7.06,,,,72.625
Jack Heflin,IDL,Iowa,304.0,5.3,25.0,29.0,104.0,4.63,7.61,,,,75.0
Daviyon Nixon,IDL,Iowa,313.0,4.9,,28.5,106.0,4.7,7.68,,,,75.125
Cole Banwart,IOL,Iowa,298.0,5.13,22.0,27.5,105.0,4.72,7.5,,,,75.75
Keith Duncan,K,Iowa,176.0,,,,,,,,,,69.375
Nick Niemann,LB,Iowa,234.0,4.45,19.0,33.5,121.0,4.14,6.67,,,,75.0
Barrington Wade,LB,Iowa,232.0,4.6,19.0,34.5,118.0,4.39,6.94,,,,73.0
Mekhi Sargent,RB,Iowa,208.0,4.62,18.0,33.5,113.0,4.39,7.08,,,,68.375
Shaun Beyer,TE,Iowa,250.0,4.78,22.0,31.5,119.0,4.2,7.0,,,,76.875
Brandon Smith,WR,Iowa,218.0,4.62,21.0,39.5,130.0,,,,,,73.375
Ihmir Smith-Marsette,WR,Iowa,181.0,4.43,10.0,37.0,124.0,4.2,7.0,,,,72.75
Tarron Jackson,EDGE,Coastal Carolina,254.0,4.7,25.0,29.5,118.0,4.36,7.41,,,,74.0
CJ Marable,RB,Coastal Carolina,195.0,4.53,17.0,36.0,116.0,4.34,7.34,,,,66.0
Brian Delaney,K,Virginia,192.0,,,,,,,,,,69.625
Noah Curtis,EDGE,Florida International,256.0,5.11,14.0,28.5,110.0,4.7,7.56,10.0,32.0,78.0,77.25
Cary Angeline,TE,North Carolina State,245.0,4.89,12.0,29.0,109.0,4.59,7.19,10.0,33.0,83.0,78.5
Sammis Reyes,TE,Chile,260.0,4.65,31.0,40.0,125.0,,,,,,77.375
Coby Weiss,K,USF,155.0,,,,,,,,,,68.625
Feleipe Franks,QB,Arkansas,234.0,4.58,,32.5,117.0,4.35,7.22,9.625,34.0,82.0,78.625
Roy Lopez,IDL,Arizona,304.0,5.19,36.0,31.0,105.0,4.51,7.39,9.875,32.0,76.0,73.625
DJ Daniel,CB,Georgia,183.0,4.62,11.0,31.0,119.0,4.12,7.02,9.125,33.0,81.0,71.625
Brady Davis,QB,Illinois State,206.0,4.79,,31.0,114.0,4.46,7.25,10.375,32.0,75.0,74.375
KJ Britt,LB,Auburn,235.0,4.76,24.0,32.5,118.0,4.4,7.38,9.375,31.0,76.0,72.5
Adrian Hardy,WR,Louisiana Tech,205.0,4.61,12.0,37.5,124.0,4.5,6.96,9.375,32.0,77.0,73.0
Calvin Ashley,OT,Florida A&M,314.0,5.49,15.0,29.0,105.0,5.1,7.0,10.5,34.0,83.0,78.125
Zach Davidson,TE,Central Missouri,245.0,4.64,17.0,37.5,117.0,4.26,6.95,9.5,32.0,77.0,78.625
Nate McCrary,RB,Saginaw Valley State,213.0,4.52,19.0,34.0,123.0,4.19,6.94,9.25,30.0,77.0,72.25
Osa Odighizuwa,EDGE,UCLA,282.0,,25.0,31.5,120.0,4.5,7.58,10.375,34.0,83.0,73.625
Adam Prentice,FB,South Carolina,251.0,4.83,21.0,35.5,116.0,4.58,7.22,9.125,32.0,78.0,71.5
Kyle Spalding,OT,San Diego State,299.0,5.4,18.0,25.5,101.0,4.88,7.9,9.625,33.0,80.0,78.5
Khyiris Tonga,IDL,BYU,325.0,5.1,35.0,28.0,105.0,4.73,7.83,9.625,31.0,79.0,74.125
Racey McMath,WR,LSU,211.0,4.39,,34.0,125.0,4.4,7.37,8.875,32.0,79.0,74.5
Javon McKinley,WR,Notre Dame,215.0,4.6,20.0,32.5,,4.4,7.05,9.75,33.0,79.0,73.75
Trae Meadows,CB,Western Kentucky,183.0,4.65,6.0,29.0,118.0,4.39,7.3,8.25,32.0,76.0,72.875
